freq_MHz,amp_dB,group_delay_ns
-30.0,-47.538200339559,-58.906250000000
-29.5,-46.816638370119,-58.906250000000
-29.0,-44.354838709677,-55.312500000000
-28.5,-42.826825127334,-52.656250000000
-28.0,-41.171477079796,-50.937500000000
-27.5,-40.195246179966,-49.062500000000
-27.0,-38.370118845501,-47.500000000000
-26.5,-37.393887945671,-46.562500000000
-26.0,-36.332767402377,-45.468750000000
-25.5,-35.101867572156,-45.937500000000
-25.0,-34.337860780985,-48.750000000000
-24.5,-34.083191850594,-49.375000000000
-24.0,-34.083191850594,-19.687500000000
-23.5,-34.932088285229,18.125000000000
-23.0,-34.380305602716,51.718750000000
-22.5,-31.366723259762,49.218750000000
-22.0,-24.363327674024,16.718750000000
-21.5,-17.741935483871,18.281250000000
-21.0,-13.624787775891,53.906250000000
-20.5,-7.512733446520,77.343750000000
-20.0,-5.432937181664,91.250000000000
-19.5,-3.480475382003,82.500000000000
-19.0,-2.504244482173,67.812500000000
-18.5,-1.697792869270,56.250000000000
-18.0,-1.358234295416,40.937500000000
-17.5,-1.103565365025,32.031250000000
-17.0,-0.933786078098,25.937500000000
-16.5,-0.848896434635,19.531250000000
-16.0,-0.594227504244,16.093750000000
-15.5,-0.509337860781,13.750000000000
-15.0,-0.509337860781,10.468750000000
-14.5,-0.339558573854,8.593750000000
-14.0,-0.339558573854,6.875000000000
-13.5,-0.339558573854,5.312500000000
-13.0,-0.169779286927,4.062500000000
-12.5,-0.169779286927,3.125000000000
-12.0,-0.169779286927,1.875000000000
-11.5,-0.169779286927,1.250000000000
-11.0,-0.169779286927,1.250000000000
-10.5,-0.127334465195,0.781250000000
-10.0,-0.084889643463,0.468750000000
-9.5,-0.084889643463,0.000000000000
-9.0,-0.084889643463,0.000000000000
-8.5,-0.084889643463,0.000000000000
-8.0,-0.084889643463,0.000000000000
-7.5,-0.084889643463,-0.156250000000
-7.0,-0.084889643463,0.000000000000
-6.5,-0.084889643463,0.000000000000
-6.0,-0.084889643463,0.000000000000
-5.5,-0.084889643463,-0.156250000000
-5.0,-0.084889643463,0.000000000000
-4.5,-0.084889643463,0.000000000000
-4.0,-0.084889643463,0.000000000000
-3.5,-0.169779286927,0.000000000000
-3.0,-0.169779286927,0.312500000000
-2.5,-0.169779286927,0.312500000000
-2.0,-0.169779286927,0.312500000000
-1.5,-0.169779286927,0.312500000000
-1.0,-0.169779286927,0.312500000000
-0.5,-0.169779286927,0.000000000000
0.0,-0.169779286927,0.000000000000
0.5,-0.169779286927,0.000000000000
1.0,-0.169779286927,0.312500000000
1.5,-0.169779286927,0.312500000000
2.0,-0.169779286927,0.312500000000
2.5,-0.169779286927,0.312500000000
3.0,-0.169779286927,0.312500000000
3.5,-0.169779286927,0.000000000000
4.0,-0.084889643463,0.000000000000
4.5,-0.084889643463,0.000000000000
5.0,-0.084889643463,0.000000000000
5.5,-0.084889643463,-0.156250000000
6.0,-0.084889643463,0.000000000000
6.5,-0.084889643463,0.000000000000
7.0,-0.084889643463,0.000000000000
7.5,-0.084889643463,-0.156250000000
8.0,-0.084889643463,0.000000000000
8.5,-0.084889643463,0.000000000000
9.0,-0.084889643463,0.000000000000
9.5,-0.084889643463,0.000000000000
10.0,-0.084889643463,0.468750000000
10.5,-0.127334465195,0.781250000000
11.0,-0.169779286927,1.250000000000
11.5,-0.169779286927,1.250000000000
12.0,-0.169779286927,1.875000000000
12.5,-0.169779286927,3.125000000000
13.0,-0.169779286927,4.062500000000
13.5,-0.339558573854,5.312500000000
14.0,-0.339558573854,6.875000000000
14.5,-0.339558573854,8.593750000000
15.0,-0.509337860781,10.468750000000
15.5,-0.509337860781,13.750000000000
16.0,-0.594227504244,16.093750000000
16.5,-0.848896434635,19.531250000000
17.0,-0.933786078098,25.937500000000
17.5,-1.103565365025,32.031250000000
18.0,-1.358234295416,40.937500000000
18.5,-1.697792869270,56.250000000000
19.0,-2.504244482173,67.812500000000
19.5,-3.480475382003,82.500000000000
20.0,-5.432937181664,91.250000000000
20.5,-7.512733446520,77.343750000000
21.0,-13.624787775891,53.906250000000
21.5,-17.741935483871,18.281250000000
22.0,-24.363327674024,16.718750000000
22.5,-31.366723259762,49.218750000000
23.0,-34.380305602716,51.718750000000
23.5,-34.932088285229,18.125000000000
24.0,-34.083191850594,-19.687500000000
24.5,-34.083191850594,-49.375000000000
25.0,-34.337860780985,-48.750000000000
25.5,-35.101867572156,-45.937500000000
26.0,-36.332767402377,-45.468750000000
26.5,-37.393887945671,-46.562500000000
27.0,-38.370118845501,-47.500000000000
27.5,-40.195246179966,-49.062500000000
28.0,-41.171477079796,-50.937500000000
28.5,-42.826825127334,-52.656250000000
29.0,-44.354838709677,-55.312500000000
29.5,-46.816638370119,-58.906250000000
30.0,-47.538200339559,-58.906250000000
