freq_MHz,amp_dB,group_delay_ns
-30.0,-51.48817,-35.06529
-29.5,-48.7428,-35.06529
-29.0,-44.05906,-35.06529
-28.5,-39.38963,-35.06529
-28.0,-36.62586,-24.97597
-27.5,-33.40709,-19.26625
-27.0,-31.3631,-15.62103
-26.5,-29.16287,-12.34572
-26.0,-26.92258,-10.65678
-25.5,-25.16647,-9.08542
-25.0,-23.0256,-8.32734
-24.5,-21.44213,-7.76183
-24.0,-19.55168,-7.52406
-23.5,-17.82762,-7.34409
-23.0,-16.19942,-5.93202
-22.5,-14.0385,-2.98619
-22.0,-12.14395,5.08289
-21.5,-9.71001,16.49209
-21.0,-7.59917,29.35186
-20.5,-5.51412,45.45191
-20.0,-3.73802,52.99042
-19.5,-2.70146,55.29236
-19.0,-1.81806,52.08656
-18.5,-1.43843,46.62771
-18.0,-1.11084,39.52235
-17.5,-0.85895,34.33408
-17.0,-0.73301,28.79755
-16.5,-0.58669,25.3821
-16.0,-0.52352,22.04352
-15.5,-0.38762,19.17449
-15.0,-0.35518,17.1493
-14.5,-0.35518,14.95875
-14.0,-0.35518,13.33501
-13.5,-0.30663,11.77606
-13.0,-0.22924,10.80282
-12.5,-0.22924,9.79217
-12.0,-0.22924,8.64116
-11.5,-0.22924,7.8179
-11.0,-0.22924,7.00852
-10.5,-0.22924,6.36692
-10.0,-0.04032,5.50515
-9.5,-0.04032,4.95556
-9.0,-0.04032,4.52301
-8.5,-0.04032,3.87973
-8.0,-0.04032,3.4494
-7.5,-0.04032,3.01906
-7.0,-0.04032,2.78168
-6.5,-0.04032,2.23877
-6.0,-0.04032,1.94324
-5.5,-0.04032,1.65567
-5.0,-0.04032,1.25552
-4.5,-0.04032,1.08257
-4.0,-0.04032,0.86741
-3.5,-0.04032,0.65224
-3.0,-0.04032,0.65224
-2.5,-0.04032,0.22191
-2.0,-0.04032,0.22191
-1.5,-0.04032,0.02193
-1.0,-0.04032,0.00674
-0.5,-0.04032,0.00674
0.0,-0.04032,0.00674
0.5,-0.04032,0.00674
1.0,-0.04032,0.00674
1.5,-0.04032,0.00674
2.0,-0.04032,0.00674
2.5,-0.04032,0.22191
3.0,-0.04032,0.22191
3.5,-0.04032,0.24154
4.0,-0.04032,0.65224
4.5,-0.04032,0.65224
5.0,-0.04032,0.86741
5.5,-0.04032,1.08257
6.0,-0.04032,1.23479
6.5,-0.04032,1.5129
7.0,-0.04032,1.72807
7.5,-0.04032,2.00287
8.0,-0.04032,2.1584
8.5,-0.04032,2.8039
9.0,-0.04032,3.11017
9.5,-0.04032,3.74419
10.0,-0.04032,4.09489
10.5,-0.04032,4.61485
11.0,-0.04032,5.37294
11.5,-0.04032,6.0812
12.0,-0.18619,6.99742
12.5,-0.22924,7.96992
13.0,-0.22924,8.95022
13.5,-0.22924,10.29898
14.0,-0.22924,11.44462
14.5,-0.22924,13.34835
15.0,-0.3373,15.01486
15.5,-0.35518,16.96135
16.0,-0.35518,19.78703
16.5,-0.48112,22.47736
17.0,-0.72234,26.44516
17.5,-0.85895,30.31037
18.0,-0.9849,34.64595
18.5,-1.36273,40.46816
19.0,-1.98898,44.81425
19.5,-2.65116,47.12806
20.0,-3.88202,45.16761
20.5,-5.39875,37.46761
21.0,-7.18048,26.18068
21.5,-9.31381,15.43113
22.0,-11.20469,4.38383
22.5,-13.29184,-1.58208
23.0,-14.93451,-6.01521
23.5,-16.65292,-7.8535
24.0,-18.47174,-9.14727
24.5,-20.03507,-9.99847
25.0,-21.95508,-10.77101
25.5,-23.58867,-12.07923
26.0,-25.52678,-13.39246
26.5,-27.62967,-15.33475
27.0,-29.54961,-18.33261
27.5,-32.32758,-21.99177
28.0,-34.79068,-30.74773
28.5,-38.41528,-33.98946
29.0,-42.28686,-33.98946
29.5,-47.29816,-33.98946
30.0,-50.9844,-33.98946
